epoch,loss,lr,val_loss
52,-14.758647918701172,0.00025,-14.202735900878906
53,-14.763381958007812,0.00025,-14.206406593322754
54,-14.769784927368164,0.00025,-14.212164878845215
55,-14.775457382202148,0.00025,-14.21610164642334
56,-14.779809951782227,0.00025,-14.214716911315918
57,-14.783522605895996,0.00025,-14.217734336853027
58,-14.78939151763916,0.00025,-14.217642784118652
59,-14.793600082397461,0.00025,-14.220208168029785
60,-14.793355941772461,0.00025,-14.21741008758545
61,-14.800776481628418,0.00025,-14.224793434143066
62,-14.803421020507812,0.00025,-14.224289894104004
63,-14.807981491088867,0.00025,-14.228612899780273
64,-14.811323165893555,0.00025,-14.220224380493164
65,-14.8128080368042,0.00025,-14.217321395874023
66,-14.814506530761719,0.00025,-14.2306489944458
67,-14.8204345703125,0.00025,-14.208146095275879
68,-14.824560165405273,0.00025,-14.232219696044922
69,-14.825636863708496,0.00025,-14.224842071533203
70,-14.829230308532715,0.00025,-14.235254287719727
71,-14.831673622131348,0.00025,-14.225872039794922
72,-14.83330249786377,0.00025,-14.23019027709961
73,-14.8362455368042,0.00025,-14.225226402282715
74,-14.85612964630127,0.000125,-14.241393089294434
75,-14.86107063293457,0.000125,-14.239815711975098
76,-14.8624906539917,0.000125,-14.23904800415039
77,-14.866318702697754,0.000125,-14.234017372131348
78,-14.875813484191895,6.25e-05,-14.239591598510742
79,-14.877093315124512,6.25e-05,-14.24145793914795
80,-14.879176139831543,6.25e-05,-14.243986129760742
81,-14.880467414855957,6.25e-05,-14.246194839477539
82,-14.881614685058594,6.25e-05,-14.243585586547852
83,-14.881318092346191,6.25e-05,-14.243061065673828
84,-14.883447647094727,6.25e-05,-14.244415283203125
85,-14.88786792755127,3.125e-05,-14.243322372436523
86,-14.890039443969727,3.125e-05,-14.245019912719727
87,-14.890357971191406,3.125e-05,-14.245352745056152
88,-14.893754959106445,1.5625e-05,-14.244166374206543
89,-14.892656326293945,1.5625e-05,-14.245868682861328
90,-14.892958641052246,1.5625e-05,-14.246211051940918
91,-14.894353866577148,7.8125e-06,-14.248215675354004
92,-14.895294189453125,7.8125e-06,-14.248104095458984
93,-14.895255088806152,7.8125e-06,-14.247644424438477
94,-14.895956993103027,7.8125e-06,-14.245817184448242
95,-14.896398544311523,3.90625e-06,-14.246899604797363
96,-14.895499229431152,3.90625e-06,-14.247671127319336
97,-14.896111488342285,3.90625e-06,-14.24609375
98,-14.89656925201416,1.953125e-06,-14.24693489074707
99,-14.896718978881836,1.953125e-06,-14.247132301330566
100,-14.895890235900879,1.953125e-06,-14.247392654418945
101,-14.896387100219727,9.765625e-07,-14.246957778930664
102,-14.897231101989746,9.765625e-07,-14.24703598022461
103,-14.896424293518066,9.765625e-07,-14.247283935546875
104,-14.896958351135254,4.882813e-07,-14.246943473815918
105,-14.896903991699219,4.882813e-07,-14.246868133544922
106,-14.896931648254395,4.882813e-07,-14.246902465820312
107,-14.89702320098877,2.4414064e-07,-14.246826171875
108,-14.896780967712402,2.4414064e-07,-14.246906280517578
109,-14.896472930908203,2.4414064e-07,-14.246805191040039
110,-14.897485733032227,1.2207032e-07,-14.246888160705566
111,-14.896398544311523,1.2207032e-07,-14.246917724609375
